identifier,abstract 1,abstract 2,abstract 3,subject_topical 1,subject_topical 2,type,date_text,date_single,date_qualifier,title,rights,repository,name,publisher,object_in_context,file_url,record_creation_date
fbpro_1993-01-01bowlguide,1992 Football Bowl Guide - UT vs Boston College (Hall of Fame Bowl),"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1993-01-01,1993-01-01,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=169,http://diglib.lib.utk.edu/fbpro/data/1993-01-01bowlguide/fbpro_1993-01-01bowlguide_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2004-09-01guide,2004 Football Guide,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2004-09-01,2004-09-01,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=92,http://diglib.lib.utk.edu/fbpro/data/2004-09-01guide/fbpro_2004-09-01guide_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1981-09-26,1981 Football Program - UT vs Auburn,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1981-09-26,1981-09-26,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=221,http://diglib.lib.utk.edu/fbpro/data/1981-09-26/fbpro_1981-09-26_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1967-10-14,1967 Football Program - UT vs Georgia Tech,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1967-10-14,1967-10-14,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=323,http://diglib.lib.utk.edu/fbpro/data/1967-10-14/fbpro_1967-10-14_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1997-04-19spring,1997 Football Spring Review,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1997-04-19,1997-04-19,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=666,http://diglib.lib.utk.edu/fbpro/data/1997-04-19spring/fbpro_1997-04-19spring_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1978-10-21,1978 Football Program - UT vs Alabama,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1978-10-21,1978-10-21,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=215,http://diglib.lib.utk.edu/fbpro/data/1978-10-21/fbpro_1978-10-21_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1979-11-03,1979 Football Program - UT vs Rutgers,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ","Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1979-11-03,1979-11-03,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=182,http://diglib.lib.utk.edu/fbpro/data/1979-11-03/fbpro_1979-11-03_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2009-09-26,2009 Football Program - UT vs Ohio,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2009-09-26,2009-09-26,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=143,http://diglib.lib.utk.edu/fbpro/data/2009-09-26/fbpro_2009-09-26_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2002-10-26,2002 Football Program - UT vs Alabama,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2002-10-26,2002-10-26,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=78,http://diglib.lib.utk.edu/fbpro/data/2002-10-26/fbpro_2002-10-26_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1985-11-30,1985 Football Program - UT vs Vanderbilt,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1985-11-30,1985-11-30,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=240,http://diglib.lib.utk.edu/fbpro/data/1985-11-30/fbpro_1985-11-30_001.jpg.t.jpg,2015-01-08T00:36:36Z
